<head>
width=20
height=15
Coin=0
Quest=3
Tube=2
Plat=4
Gap=0
Floor=1
Objects=10
</head>
<matrix>
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,132,133,133,133,133,134,0
132,132,133,133,133,133,133,133,134,133,133,133,133,133,133,133,133,133,133,134
148,148,149,149,149,149,149,149,150,149,149,149,149,149,149,149,149,149,149,150
148,148,149,149,149,149,149,149,150,149,149,149,149,149,149,149,149,149,149,150
148,148,149,149,149,149,149,149,150,149,149,149,149,149,149,149,149,149,149,150
148,148,149,149,149,149,149,149,150,149,149,149,149,149,149,149,149,149,149,150
148,148,149,149,149,149,149,20,150,149,149,20,149,149,149,149,149,149,149,150
148,148,149,149,149,10,11,149,150,149,149,149,149,20,149,149,149,149,149,150
148,148,149,149,149,26,27,149,150,149,149,149,149,149,149,149,149,149,149,150
148,148,149,149,149,26,27,149,150,149,149,149,149,149,149,149,149,149,149,150
148,148,149,149,132,133,133,133,133,133,133,133,133,133,133,134,149,149,149,150
148,148,149,149,148,149,149,149,10,11,149,149,149,149,149,150,149,149,149,150
129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145
</matrix>
