<head>
width=15
height=15
Coin=0
Quest=0
Tube=1
Plat=5
Gap=0
Floor=1
Objects=7
</head>
<matrix>
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,132,133,133,133,134
000,000,000,000,000,000,000,000,132,133,148,149,149,149,150
000,000,000,000,000,000,000,000,148,149,148,149,149,149,150
000,000,000,000,000,000,000,000,148,149,148,149,149,149,150
000,000,000,000,000,000,132,133,133,133,133,134,149,149,150
000,000,000,000,000,000,148,149,149,149,149,150,149,149,150
000,000,000,132,133,133,134,149,149,149,149,150,149,149,150
000,000,000,148,149,149,150,149,149,149,149,150,149,149,150
000,000,000,148,149,149,010,011,149,149,149,150,149,149,150
000,000,000,148,149,149,026,027,149,149,149,150,149,149,150
000,000,000,148,149,149,026,027,149,149,149,150,149,149,150
000,000,000,148,149,149,026,027,149,149,149,150,149,149,150
129,129,129,129,129,129,129,130,149,149,149,150,149,149,128
145,145,145,145,145,145,145,146,145,145,145,150,145,145,144
</matrix>
