<head>
width=20
height=15
Coin=1
Quest=2
Tube=2
Plat=3
Gap=0
Floor=1
Objects=18
</head>
<matrix>
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,132,133,133,132,133,133,133,133,133,133,133,134,0
0,0,0,0,0,0,0,148,149,149,148,149,149,149,149,149,149,149,150,0
0,0,0,0,0,0,0,148,149,149,148,149,149,149,149,149,149,149,150,0
0,0,0,0,0,0,0,148,149,149,148,149,149,149,149,149,149,149,150,0
0,0,0,0,0,0,0,148,149,149,148,149,149,20,20,149,149,149,150,0
0,0,0,0,0,0,0,148,149,149,148,149,149,149,149,149,149,149,150,0
0,32,0,0,0,0,0,148,149,149,148,149,149,149,149,149,149,149,150,0
0,0,0,0,0,0,0,148,149,149,148,149,149,149,4,4,149,149,150,0
0,0,0,0,0,0,0,148,149,149,148,149,149,4,4,149,149,149,150,0
0,0,0,0,0,0,132,133,133,133,133,133,4,4,149,149,149,149,150,0
0,0,0,0,0,0,148,149,149,149,149,4,4,150,149,149,149,149,150,0
0,10,11,0,0,0,148,149,10,11,4,4,149,150,149,149,149,149,150,0
129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145
</matrix>
